ID_LAT_LON_YEAR_WEEK,emission
ID_-23.53_27.47_2019_1,1750.093311879999
ID_-23.53_27.47_2019_2,1985.4392847016672
ID_-23.53_27.47_2019_3,1969.4840245416674
ID_-23.53_27.47_2019_4,2038.883652949999
ID_-23.53_27.47_2019_5,207186.09478845997
ID_-23.53_27.47_2019_6,1839.0069702799988
ID_-23.53_27.47_2019_7,2048.3194207000015
ID_-23.53_27.47_2019_8,2062.948570260001
ID_-23.53_27.47_2019_9,1641.7375778299988
ID_-23.53_27.47_2019_10,1819.4516876399991
ID_-23.53_27.47_2019_11,2767.8365250300003
ID_-23.53_27.47_2019_12,1801.8025093499994
ID_-23.53_27.47_2019_13,1905.29777902
ID_-23.53_27.47_2019_14,1870.9107425000004
ID_-23.53_27.47_2019_15,1711.4659549299995
ID_-23.53_27.47_2019_16,1843.9751438999995
ID_-23.53_27.47_2019_17,1752.3097862699994
ID_-23.53_27.47_2019_18,3485.649035600003
ID_-23.53_27.47_2019_19,1926.1846614449998
ID_-23.53_27.47_2019_20,2088.9595586899995
ID_-23.53_27.47_2019_21,3320.2620819999997
ID_-23.53_27.47_2019_22,3401.862593000004
ID_-23.53_27.47_2019_23,3194.5263160000018
ID_-23.53_27.47_2019_24,2186.8692551000004
ID_-23.53_27.47_2019_25,2143.2758154000003
ID_-23.53_27.47_2019_26,2947.951894500002
ID_-23.53_27.47_2019_27,1918.0850747499999
ID_-23.53_27.47_2019_28,2353.9969443500013
ID_-23.53_27.47_2019_29,3391.352923
ID_-23.53_27.47_2019_30,1992.9077825349993
ID_-23.53_27.47_2019_31,3116.1221937000014
ID_-23.53_27.47_2019_32,1738.009127473333
ID_-23.53_27.47_2019_33,2855.9379401
ID_-23.53_27.47_2019_34,3760.764802000005
ID_-23.53_27.47_2019_35,1765.5215889400001
ID_-23.53_27.47_2019_36,1789.1626652100001
ID_-23.53_27.47_2019_37,1895.138272796429
ID_-23.53_27.47_2019_38,1891.1889579183346
ID_-23.53_27.47_2019_39,1991.3713504199993
ID_-23.53_27.47_2019_40,1957.4887765516667
ID_-23.53_27.47_2019_41,1954.6361158099999
ID_-23.53_27.47_2019_42,1944.9475170683343
ID_-23.53_27.47_2019_43,2626.810130490001
ID_-23.53_27.47_2019_44,3611.7862872999995
ID_-23.53_27.47_2019_45,1847.3870714700004
ID_-23.53_27.47_2019_46,7569.200700360001
ID_-23.53_27.47_2019_47,1795.4327473899993
ID_-23.53_27.47_2019_48,1842.6791855466665
ID_-23.53_27.47_2019_49,1794.2086614816671
ID_-23.53_27.47_2019_50,1771.764117109999
ID_-23.53_27.47_2019_51,1777.0528406699991
ID_-23.53_27.47_2019_52,1988.3096808000014
ID_-23.53_27.47_2020_1,2765.274479530002
ID_-23.53_27.47_2020_2,1826.6925104500008
ID_-23.53_27.47_2020_3,3099.1180718
ID_-23.53_27.47_2020_4,1741.2525612300003
ID_-23.53_27.47_2020_5,1789.9631775599994
ID_-23.53_27.47_2020_6,1788.0885067699994
ID_-23.53_27.47_2020_7,1720.5471074799993
ID_-23.53_27.47_2020_8,1786.3811038799997
ID_-23.53_27.47_2020_9,1857.7913062599996
ID_-23.53_27.47_2020_10,1968.6634315300007
ID_-23.53_27.47_2020_11,2032.2054810500003
ID_-23.53_27.47_2020_12,3294.7378996000007
ID_-23.53_27.47_2020_13,2086.6277457999995
ID_-23.53_27.47_2020_14,1744.4091306200003
ID_-23.53_27.47_2020_15,1592.43422624
ID_-23.53_27.47_2020_16,1614.4123174399997
ID_-23.53_27.47_2020_17,3605.9295370000036
ID_-23.53_27.47_2020_18,2062.2712833000005
ID_-23.53_27.47_2020_19,4016.993854600003
ID_-23.53_27.47_2020_20,4248.237784000001
ID_-23.53_27.47_2020_21,2120.0747275899985
ID_-23.53_27.47_2020_22,1918.9508000999995
ID_-23.53_27.47_2020_23,3097.9087184
ID_-23.53_27.47_2020_24,1896.210529843334
ID_-23.53_27.47_2020_25,3242.6647859999985
ID_-23.53_27.47_2020_26,2268.426658019999
ID_-23.53_27.47_2020_27,3134.0144130000012
ID_-23.53_27.47_2020_28,1804.7851147
ID_-23.53_27.47_2020_29,1719.6840537000007
ID_-23.53_27.47_2020_30,1812.893909209999
ID_-23.53_27.47_2020_31,2943.424819530002
ID_-23.53_27.47_2020_32,1916.0490696599993
ID_-23.53_27.47_2020_33,1804.05079561
ID_-23.53_27.47_2020_34,1806.6318280999985
ID_-23.53_27.47_2020_35,1723.85200465
ID_-23.53_27.47_2020_36,1831.6794101400003
ID_-23.53_27.47_2020_37,3694.314984000003
ID_-23.53_27.47_2020_38,1862.9364504200007
ID_-23.53_27.47_2020_39,1969.5478517799984
ID_-23.53_27.47_2020_40,1864.1907616099988
ID_-23.53_27.47_2020_41,1751.3927653600008
ID_-23.53_27.47_2020_42,2739.159318500001
ID_-23.53_27.47_2020_43,12881.818577640017
ID_-23.53_27.47_2020_44,1881.7878935733347
ID_-23.53_27.47_2020_45,1767.98062549
ID_-23.53_27.47_2020_46,1786.9727749116657
ID_-23.53_27.47_2020_47,1836.2875968100007
ID_-23.53_27.47_2020_48,5068.303186649999
ID_-23.53_27.47_2020_49,1754.87167276
ID_-23.53_27.47_2020_50,1846.351444359999
ID_-23.53_27.47_2020_51,2088.7998902499994
ID_-23.53_27.47_2020_52,1852.6092365499994
ID_-23.53_27.47_2021_1,1977.9397469900005
ID_-23.53_27.47_2021_2,1975.7300045999998
ID_-23.53_27.47_2021_3,2879.0817029600025
ID_-23.53_27.47_2021_4,1835.8426509200006
ID_-23.53_27.47_2021_5,2088.7998902499994
ID_-23.53_27.47_2021_6,1617.48437975
ID_-23.53_27.47_2021_7,3769.8330999999976
ID_-23.53_27.47_2021_8,1898.6356687500001
ID_-23.53_27.47_2021_9,4354.536230600006
ID_-23.53_27.47_2021_10,2025.9675559600003
ID_-23.53_27.47_2021_11,2048.107185506668
ID_-23.53_27.47_2021_12,1834.7655716400018
